date,state,seat,r-prob,d-prob
2014-07-19,KS,1,90.0,10.0
2014-07-19,KY,1,53.5,46.6
2014-07-19,LA,1,50.0,50.0
2014-07-19,MA,1,1.0,99.0
2014-07-19,ME,1,99.0,1.0
2014-07-19,MI,1,36.8,63.2
2014-07-19,MN,1,9.5,90.5
2014-07-19,MS,1,88.9,11.1
2014-07-19,MT,1,90.0,10.0
2014-07-19,NC,1,45.7,54.3
2014-07-19,NE,1,99.0,1.0
2014-07-19,NH,1,17.6,82.4
2014-07-19,NJ,1,1.0,99.0
2014-07-19,NM,1,1.0,99.0
2014-07-19,OK,1,99.0,1.0
2014-07-19,OK,2,99.0,1.0
2014-07-19,OR,1,21.5,78.5
2014-07-19,RI,1,1.0,99.0
2014-07-19,SC,1,99.0,1.0
2014-07-19,SC,2,99.0,1.0
2014-07-19,SD,1,86.3,13.7
